V1	V(d1)	I(D1)
-2.000000000000000e+00	-2.000000e+00	-7.889456e-11
-1.900000000000000e+00	-1.900000e+00	-7.879412e-11
-1.800000000000000e+00	-1.800000e+00	-7.869366e-11
-1.700000000000000e+00	-1.700000e+00	-7.859322e-11
-1.600000000000000e+00	-1.600000e+00	-7.849806e-11
-1.500000000000000e+00	-1.500000e+00	-7.839761e-11
-1.400000000000000e+00	-1.400000e+00	-7.829716e-11
-1.300000000000000e+00	-1.300000e+00	-7.819671e-11
-1.200000000000000e+00	-1.200000e+00	-7.809626e-11
-1.100000000000000e+00	-1.100000e+00	-7.799581e-11
-1.000000000000000e+00	-9.999999e-01	-7.789536e-11
-8.999999999999999e-01	-8.999999e-01	-7.779492e-11
-7.999999999999998e-01	-7.999999e-01	-7.769711e-11
-7.000000000000000e-01	-6.999999e-01	-7.759666e-11
-5.999999999999999e-01	-5.999999e-01	-7.749885e-11
-5.000000000000000e-01	-4.999999e-01	-7.739973e-11
-3.999999999999999e-01	-3.999999e-01	-7.729796e-11
-2.999999999999998e-01	-2.999999e-01	-7.717372e-11
-2.000000000000000e-01	-1.999999e-01	-7.672897e-11
-9.999999999999987e-02	-9.999993e-02	-7.165531e-11
0.000000000000000e+00	0.000000e+00	0.000000e+00
1.000000000000001e-01	9.999897e-02	1.029579e-09
2.000000000000002e-01	1.999842e-01	1.583519e-08
3.000000000000003e-01	2.997724e-01	2.275660e-07
4.000000000000004e-01	3.969613e-01	3.038675e-06
5.000000000000000e-01	4.754210e-01	2.457895e-05
6.000000000000001e-01	5.197515e-01	8.024844e-05
7.000000000000002e-01	5.446941e-01	1.553059e-04
8.000000000000003e-01	5.607301e-01	2.392699e-04
9.000000000000004e-01	5.727088e-01	3.272911e-04
1.000000000000000e+00	5.817879e-01	4.182121e-04
1.100000000000000e+00	5.892109e-01	5.107891e-04
1.200000000000000e+00	5.955110e-01	6.044890e-04
1.300000000000000e+00	6.009580e-01	6.990419e-04
1.400000000000000e+00	6.057470e-01	7.942530e-04
1.500000000000000e+00	6.100168e-01	8.899832e-04
1.600000000000000e+00	6.138670e-01	9.861329e-04
1.700000000000000e+00	6.173716e-01	1.082628e-03
1.800000000000000e+00	6.205865e-01	1.179414e-03
1.900000000000000e+00	6.235554e-01	1.276445e-03
2.000000000000000e+00	6.263128e-01	1.373687e-03
2.100000000000001e+00	6.288866e-01	1.471113e-03
2.200000000000000e+00	6.312994e-01	1.568701e-03
2.300000000000000e+00	6.335700e-01	1.666430e-03
2.400000000000000e+00	6.357142e-01	1.764286e-03
2.500000000000000e+00	6.377450e-01	1.862255e-03
2.600000000000001e+00	6.396739e-01	1.960326e-03
2.700000000000000e+00	6.415105e-01	2.058489e-03
2.800000000000001e+00	6.432633e-01	2.156737e-03
