V1	I(D1)
-2.000000000000000e+00	-1.377732e-06
-1.900000000000000e+00	-1.377732e-06
-1.800000000000000e+00	-1.377732e-06
-1.700000000000000e+00	-1.377732e-06
-1.600000000000000e+00	-1.377732e-06
-1.500000000000000e+00	-1.377731e-06
-1.400000000000000e+00	-1.377731e-06
-1.300000000000000e+00	-1.377731e-06
-1.200000000000000e+00	-1.377731e-06
-1.100000000000000e+00	-1.377731e-06
-1.000000000000000e+00	-1.377731e-06
-8.999999999999999e-01	-1.377731e-06
-7.999999999999998e-01	-1.377731e-06
-7.000000000000000e-01	-1.377729e-06
-5.999999999999999e-01	-1.377718e-06
-5.000000000000000e-01	-1.377641e-06
-3.999999999999999e-01	-1.377109e-06
-2.999999999999998e-01	-1.373438e-06
-2.000000000000000e-01	-1.348084e-06
-9.999999999999987e-02	-1.173573e-06
0.000000000000000e+00	0.000000e+00
1.000000000000001e-01	6.899460e-06
2.000000000000002e-01	3.257387e-05
3.000000000000003e-01	8.299015e-05
4.000000000000004e-01	1.495372e-04
5.000000000000000e-01	2.248587e-04
6.000000000000001e-01	3.049248e-04
7.000000000000002e-01	3.884046e-04
8.000000000000003e-01	4.739434e-04
9.000000000000004e-01	5.609208e-04
1.000000000000000e+00	6.489944e-04
1.100000000000000e+00	7.379189e-04
1.200000000000000e+00	8.275192e-04
1.300000000000000e+00	9.176678e-04
1.400000000000000e+00	1.008270e-03
1.500000000000000e+00	1.099253e-03
1.600000000000000e+00	1.190560e-03
1.700000000000000e+00	1.282147e-03
1.800000000000000e+00	1.373976e-03
1.900000000000000e+00	1.466017e-03
2.000000000000000e+00	1.558248e-03
2.100000000000001e+00	1.650645e-03
2.200000000000000e+00	1.743193e-03
2.300000000000000e+00	1.835876e-03
2.400000000000000e+00	1.928682e-03
2.500000000000000e+00	2.021598e-03
2.600000000000001e+00	2.114617e-03
2.700000000000000e+00	2.207728e-03
2.800000000000001e+00	2.300926e-03
2.900000000000000e+00	2.394202e-03
3.000000000000000e+00	2.487552e-03
3.100000000000001e+00	2.580970e-03
3.200000000000000e+00	2.674451e-03
3.300000000000001e+00	2.767991e-03
3.400000000000000e+00	2.861587e-03
3.500000000000000e+00	2.955234e-03
3.600000000000001e+00	3.048930e-03
3.700000000000000e+00	3.142672e-03
3.800000000000001e+00	3.236457e-03
3.900000000000000e+00	3.330283e-03
4.000000000000000e+00	3.424147e-03
4.100000000000001e+00	3.518048e-03
4.200000000000000e+00	3.611983e-03
4.300000000000001e+00	3.705952e-03
4.400000000000000e+00	3.799951e-03
4.500000000000000e+00	3.893980e-03
4.600000000000001e+00	3.988038e-03
4.700000000000000e+00	4.082123e-03
4.800000000000001e+00	4.176233e-03
4.900000000000000e+00	4.270369e-03
5.000000000000000e+00	4.364527e-03
5.100000000000001e+00	4.458709e-03
5.200000000000000e+00	4.552912e-03
5.300000000000001e+00	4.647137e-03
5.400000000000000e+00	4.741381e-03
5.500000000000000e+00	4.835644e-03
5.600000000000001e+00	4.929926e-03
5.700000000000000e+00	5.024226e-03
5.800000000000001e+00	5.118543e-03
5.900000000000000e+00	5.212877e-03
6.000000000000000e+00	5.307226e-03
6.100000000000000e+00	5.401591e-03
6.200000000000001e+00	5.495972e-03
6.300000000000001e+00	5.590366e-03
6.400000000000000e+00	5.684774e-03
6.500000000000000e+00	5.779196e-03
6.600000000000000e+00	5.873630e-03
6.700000000000001e+00	5.968078e-03
6.800000000000001e+00	6.062537e-03
6.900000000000000e+00	6.157008e-03
7.000000000000000e+00	6.251492e-03
7.100000000000000e+00	6.345986e-03
7.200000000000001e+00	6.440490e-03
7.300000000000001e+00	6.535006e-03
7.400000000000000e+00	6.629532e-03
7.500000000000000e+00	6.724067e-03
7.600000000000001e+00	6.818613e-03
7.700000000000001e+00	6.913167e-03
7.800000000000001e+00	7.007731e-03
7.900000000000000e+00	7.102304e-03
8.000000000000000e+00	7.196886e-03
8.100000000000001e+00	7.291475e-03
8.200000000000001e+00	7.386073e-03
8.300000000000001e+00	7.480680e-03
8.400000000000000e+00	7.575294e-03
8.500000000000000e+00	7.669915e-03
8.600000000000001e+00	7.764544e-03
8.700000000000001e+00	7.859181e-03
8.800000000000001e+00	7.953824e-03
8.900000000000000e+00	8.048475e-03
9.000000000000000e+00	8.143132e-03
9.100000000000001e+00	8.237795e-03
9.200000000000001e+00	8.332466e-03
9.300000000000001e+00	8.427142e-03
9.400000000000000e+00	8.521825e-03
9.500000000000000e+00	8.616514e-03
9.600000000000001e+00	8.711208e-03
9.700000000000001e+00	8.805908e-03
9.800000000000001e+00	8.900614e-03
9.900000000000000e+00	8.995326e-03
1.000000000000000e+01	9.090044e-03
