V1	I(D1)
Step Information: Temp=20  (Step: 1/3)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-02	3.446940e-08
2.000000000000000e-02	8.227965e-08
3.000000000000000e-02	1.485249e-07
4.000000000000000e-02	2.401815e-07
5.000000000000000e-02	3.667471e-07
6.000000000000000e-02	5.410471e-07
7.000000000000001e-02	7.802091e-07
8.000000000000000e-02	1.106764e-06
9.000000000000000e-02	1.549751e-06
1.000000000000000e-01	2.145598e-06
1.100000000000000e-01	2.938394e-06
1.200000000000000e-01	3.979068e-06
1.300000000000000e-01	5.323035e-06
1.400000000000000e-01	7.026150e-06
1.500000000000000e-01	9.139421e-06
1.600000000000000e-01	1.170355e-05
1.700000000000000e-01	1.474473e-05
1.800000000000000e-01	1.827280e-05
1.900000000000000e-01	2.228197e-05
2.000000000000000e-01	2.675364e-05
2.100000000000000e-01	3.166013e-05
2.200000000000000e-01	3.696850e-05
2.300000000000000e-01	4.264368e-05
2.400000000000000e-01	4.865078e-05
2.500000000000000e-01	5.495659e-05
2.600000000000000e-01	6.153040e-05
2.700000000000000e-01	6.834435e-05
2.800000000000000e-01	7.537351e-05
2.900000000000000e-01	8.259574e-05
3.000000000000000e-01	8.999149e-05
3.100000000000000e-01	9.754353e-05
3.200000000000000e-01	1.052367e-04
3.300000000000000e-01	1.130576e-04
3.400000000000000e-01	1.209945e-04
3.500000000000000e-01	1.290371e-04
3.600000000000000e-01	1.371760e-04
3.700000000000000e-01	1.454032e-04
3.800000000000000e-01	1.537115e-04
3.900000000000000e-01	1.620943e-04
4.000000000000000e-01	1.705460e-04
4.100000000000000e-01	1.790612e-04
4.200000000000000e-01	1.876354e-04
4.300000000000000e-01	1.962645e-04
4.400000000000000e-01	2.049445e-04
4.500000000000000e-01	2.136721e-04
4.600000000000000e-01	2.224442e-04
4.700000000000000e-01	2.312579e-04
4.800000000000000e-01	2.401107e-04
4.900000000000000e-01	2.490002e-04
5.000000000000000e-01	2.579242e-04
5.100000000000000e-01	2.668808e-04
5.200000000000000e-01	2.758681e-04
5.300000000000000e-01	2.848845e-04
5.400000000000000e-01	2.939283e-04
5.500000000000000e-01	3.029983e-04
5.600000000000001e-01	3.120929e-04
5.700000000000001e-01	3.212111e-04
5.800000000000000e-01	3.303516e-04
5.900000000000000e-01	3.395134e-04
6.000000000000000e-01	3.486955e-04
6.100000000000000e-01	3.578969e-04
6.200000000000000e-01	3.671168e-04
6.300000000000000e-01	3.763544e-04
6.400000000000000e-01	3.856089e-04
6.500000000000000e-01	3.948796e-04
6.600000000000000e-01	4.041659e-04
6.700000000000000e-01	4.134670e-04
6.800000000000000e-01	4.227824e-04
6.900000000000001e-01	4.321116e-04
7.000000000000001e-01	4.414540e-04
7.100000000000000e-01	4.508091e-04
7.200000000000000e-01	4.601764e-04
7.300000000000000e-01	4.695555e-04
7.400000000000000e-01	4.789460e-04
7.500000000000000e-01	4.883474e-04
7.600000000000000e-01	4.977594e-04
7.700000000000000e-01	5.071816e-04
7.800000000000000e-01	5.166137e-04
7.900000000000000e-01	5.260553e-04
8.000000000000000e-01	5.355062e-04
Step Information: Temp=100  (Step: 2/3)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-02	8.010516e-06
2.000000000000000e-02	1.609966e-05
3.000000000000000e-02	2.426217e-05
4.000000000000000e-02	3.249312e-05
5.000000000000000e-02	4.078804e-05
6.000000000000000e-02	4.914289e-05
7.000000000000001e-02	5.755396e-05
8.000000000000000e-02	6.601782e-05
9.000000000000000e-02	7.453135e-05
1.000000000000000e-01	8.309168e-05
1.100000000000000e-01	9.169617e-05
1.200000000000000e-01	1.003424e-04
1.300000000000000e-01	1.090280e-04
1.400000000000000e-01	1.177510e-04
1.500000000000000e-01	1.265094e-04
1.600000000000000e-01	1.353014e-04
1.700000000000000e-01	1.441254e-04
1.800000000000000e-01	1.529798e-04
1.900000000000000e-01	1.618631e-04
2.000000000000000e-01	1.707741e-04
2.100000000000000e-01	1.797113e-04
2.200000000000000e-01	1.886737e-04
2.300000000000000e-01	1.976601e-04
2.400000000000000e-01	2.066695e-04
2.500000000000000e-01	2.157010e-04
2.600000000000000e-01	2.247535e-04
2.700000000000000e-01	2.338263e-04
2.800000000000000e-01	2.429185e-04
2.900000000000000e-01	2.520293e-04
3.000000000000000e-01	2.611581e-04
3.100000000000000e-01	2.703042e-04
3.200000000000000e-01	2.794668e-04
3.300000000000000e-01	2.886454e-04
3.400000000000000e-01	2.978394e-04
3.500000000000000e-01	3.070483e-04
3.600000000000000e-01	3.162716e-04
3.700000000000000e-01	3.255086e-04
3.800000000000000e-01	3.347590e-04
3.900000000000000e-01	3.440224e-04
4.000000000000000e-01	3.532982e-04
4.100000000000000e-01	3.625861e-04
4.200000000000000e-01	3.718857e-04
4.300000000000000e-01	3.811967e-04
4.400000000000000e-01	3.905186e-04
4.500000000000000e-01	3.998512e-04
4.600000000000000e-01	4.091941e-04
4.700000000000000e-01	4.185470e-04
4.800000000000000e-01	4.279095e-04
4.900000000000000e-01	4.372816e-04
5.000000000000000e-01	4.466628e-04
5.100000000000000e-01	4.560529e-04
5.200000000000000e-01	4.654516e-04
5.300000000000000e-01	4.748588e-04
5.400000000000000e-01	4.842741e-04
5.500000000000000e-01	4.936975e-04
5.600000000000001e-01	5.031285e-04
5.700000000000001e-01	5.125671e-04
5.800000000000000e-01	5.220131e-04
5.900000000000000e-01	5.314663e-04
6.000000000000000e-01	5.409264e-04
6.100000000000000e-01	5.503933e-04
6.200000000000000e-01	5.598669e-04
6.300000000000000e-01	5.693469e-04
6.400000000000000e-01	5.788333e-04
6.500000000000000e-01	5.883259e-04
6.600000000000000e-01	5.978245e-04
6.700000000000000e-01	6.073290e-04
6.800000000000000e-01	6.168392e-04
6.900000000000001e-01	6.263551e-04
