V1	V(d1)	I(D1)
0.000000000000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-02	1.989485e-03	8.010516e-06
2.000000000000000e-02	3.900337e-03	1.609966e-05
3.000000000000000e-02	5.737827e-03	2.426217e-05
4.000000000000000e-02	7.506884e-03	3.249312e-05
5.000000000000000e-02	9.211956e-03	4.078804e-05
6.000000000000000e-02	1.085710e-02	4.914289e-05
7.000000000000001e-02	1.244604e-02	5.755396e-05
8.000000000000000e-02	1.398218e-02	6.601782e-05
9.000000000000000e-02	1.546865e-02	7.453135e-05
1.000000000000000e-01	1.690831e-02	8.309168e-05
1.100000000000000e-01	1.830383e-02	9.169617e-05
1.200000000000000e-01	1.965764e-02	1.003424e-04
1.300000000000000e-01	2.097201e-02	1.090280e-04
1.400000000000000e-01	2.224902e-02	1.177510e-04
1.500000000000000e-01	2.349060e-02	1.265094e-04
1.600000000000000e-01	2.469856e-02	1.353014e-04
1.700000000000000e-01	2.587458e-02	1.441254e-04
1.800000000000000e-01	2.702020e-02	1.529798e-04
1.900000000000000e-01	2.813687e-02	1.618631e-04
2.000000000000000e-01	2.922595e-02	1.707741e-04
2.100000000000000e-01	3.028870e-02	1.797113e-04
2.200000000000000e-01	3.132631e-02	1.886737e-04
2.300000000000000e-01	3.233988e-02	1.976601e-04
2.400000000000000e-01	3.333046e-02	2.066695e-04
2.500000000000000e-01	3.429902e-02	2.157010e-04
2.600000000000000e-01	3.524648e-02	2.247535e-04
2.700000000000000e-01	3.617371e-02	2.338263e-04
2.800000000000000e-01	3.708151e-02	2.429185e-04
2.900000000000000e-01	3.797065e-02	2.520293e-04
3.000000000000000e-01	3.884187e-02	2.611581e-04
3.100000000000000e-01	3.969583e-02	2.703042e-04
3.200000000000000e-01	4.053320e-02	2.794668e-04
3.300000000000000e-01	4.135458e-02	2.886454e-04
3.400000000000000e-01	4.216055e-02	2.978394e-04
3.500000000000000e-01	4.295167e-02	3.070483e-04
3.600000000000000e-01	4.372845e-02	3.162716e-04
3.700000000000000e-01	4.449140e-02	3.255086e-04
3.800000000000000e-01	4.524097e-02	3.347590e-04
3.900000000000000e-01	4.597763e-02	3.440224e-04
4.000000000000000e-01	4.670179e-02	3.532982e-04
4.100000000000000e-01	4.741387e-02	3.625861e-04
4.200000000000000e-01	4.811425e-02	3.718857e-04
4.300000000000000e-01	4.880330e-02	3.811967e-04
4.400000000000000e-01	4.948138e-02	3.905186e-04
4.500000000000000e-01	5.014881e-02	3.998512e-04
4.600000000000000e-01	5.080593e-02	4.091941e-04
4.700000000000000e-01	5.145305e-02	4.185470e-04
4.800000000000000e-01	5.209044e-02	4.279095e-04
4.900000000000000e-01	5.271841e-02	4.372816e-04
5.000000000000000e-01	5.333722e-02	4.466628e-04
5.100000000000000e-01	5.394712e-02	4.560529e-04
5.200000000000000e-01	5.454838e-02	4.654516e-04
5.300000000000000e-01	5.514121e-02	4.748588e-04
5.400000000000000e-01	5.572586e-02	4.842741e-04
5.500000000000000e-01	5.630255e-02	4.936975e-04
5.600000000000001e-01	5.687148e-02	5.031285e-04
5.700000000000001e-01	5.743286e-02	5.125671e-04
5.800000000000000e-01	5.798689e-02	5.220131e-04
5.900000000000000e-01	5.853374e-02	5.314663e-04
6.000000000000000e-01	5.907362e-02	5.409264e-04
6.100000000000000e-01	5.960668e-02	5.503933e-04
6.200000000000000e-01	6.013309e-02	5.598669e-04
6.300000000000000e-01	6.065303e-02	5.693469e-04
6.400000000000000e-01	6.116664e-02	5.788333e-04
6.500000000000000e-01	6.167408e-02	5.883259e-04
6.600000000000000e-01	6.217549e-02	5.978245e-04
6.700000000000000e-01	6.267102e-02	6.073290e-04
6.800000000000000e-01	6.316079e-02	6.168392e-04
6.900000000000001e-01	6.364495e-02	6.263551e-04
7.000000000000001e-01	6.412360e-02	6.358764e-04
7.100000000000000e-01	6.459689e-02	6.454031e-04
7.200000000000000e-01	6.506493e-02	6.549351e-04
7.300000000000000e-01	6.552783e-02	6.644722e-04
7.400000000000000e-01	6.598571e-02	6.740143e-04
7.500000000000000e-01	6.643867e-02	6.835613e-04
7.600000000000000e-01	6.688682e-02	6.931132e-04
7.700000000000000e-01	6.733025e-02	7.026697e-04
7.800000000000000e-01	6.776907e-02	7.122309e-04
7.900000000000000e-01	6.820337e-02	7.217966e-04
8.000000000000000e-01	6.863325e-02	7.313667e-04
