time	V(vo)	V(n001)
0.000000000000000e+00	0.000000e+00	0.000000e+00
7.142857226329270e-09	3.314042e-06	7.616118e-05
1.428571445265854e-08	1.091699e-05	1.523224e-04
2.142857167898781e-08	2.280883e-05	2.284835e-04
2.857142890531708e-08	3.898958e-05	3.046447e-04
3.571428613164635e-08	5.945923e-05	3.808059e-04
4.285714335797562e-08	8.421778e-05	4.569671e-04
5.000000058430487e-08	1.132652e-04	5.331283e-04
7.732285459217011e-08	2.494662e-04	8.244600e-04
1.226826839060037e-07	5.517352e-04	1.308112e-03
1.780302632904280e-07	1.007699e-03	1.898259e-03
2.644298982534038e-07	1.822985e-03	2.819501e-03
3.791147726036047e-07	2.994915e-03	4.042336e-03
5.665857759434211e-07	4.975420e-03	6.041258e-03
3.264539302102069e-06	3.374193e-02	3.480839e-02
5.962492828260717e-06	6.250806e-02	6.357545e-02
8.660446354419366e-06	9.127383e-02	9.234245e-02
1.135839988057801e-05	1.200392e-01	1.211094e-01
1.405635340673666e-05	1.488042e-01	1.498762e-01
1.675430693289531e-05	1.775689e-01	1.786430e-01
1.945226045905395e-05	2.063332e-01	2.074097e-01
3.863770775618211e-05	4.107744e-01	4.119670e-01
5.757778823632943e-05	6.122984e-01	6.138934e-01
7.972084193270304e-05	8.482285e-01	8.499398e-01
1.231067031885515e-04	1.310818e+00	1.312306e+00
1.487037073900587e-04	1.583575e+00	1.584986e+00
1.877662073900587e-04	1.999628e+00	2.000909e+00
2.268287073900587e-04	2.415321e+00	2.416529e+00
2.658912073900587e-04	2.830668e+00	2.831787e+00
3.049537073900587e-04	3.245544e+00	3.246617e+00
3.440162073900587e-04	3.659955e+00	3.660959e+00
3.830787073900587e-04	4.073775e+00	4.074749e+00
4.221412073900586e-04	4.487008e+00	4.487926e+00
4.612037073900586e-04	4.899529e+00	4.900426e+00
5.002662073900587e-04	5.311340e+00	5.312189e+00
5.393287073900587e-04	5.722316e+00	5.723152e+00
5.783912073900587e-04	6.132460e+00	6.133253e+00
6.174537073900588e-04	6.541646e+00	6.542430e+00
6.565162073900588e-04	6.949876e+00	6.950622e+00
6.955787073900588e-04	7.357027e+00	7.357768e+00
7.346412073900589e-04	7.763100e+00	7.763805e+00
7.737037073900589e-04	8.167971e+00	8.168673e+00
8.127662073900589e-04	8.571641e+00	8.572310e+00
8.518287073900590e-04	8.973989e+00	8.974657e+00
8.908912073900590e-04	9.375015e+00	9.375653e+00
9.299537073900590e-04	9.774598e+00	9.775236e+00
9.690162073900591e-04	1.017274e+01	1.017335e+01
1.008078707390059e-03	1.056932e+01	1.056993e+01
1.047141207390059e-03	1.096433e+01	1.096491e+01
1.086203707390059e-03	1.135766e+01	1.135825e+01
1.125266207390059e-03	1.174932e+01	1.174988e+01
1.164328707390059e-03	1.213917e+01	1.213973e+01
1.203391207390059e-03	1.252722e+01	1.252776e+01
1.242453707390059e-03	1.291336e+01	1.291390e+01
1.281516207390059e-03	1.329758e+01	1.329810e+01
1.320578707390059e-03	1.367977e+01	1.368029e+01
1.359641207390059e-03	1.405993e+01	1.406043e+01
1.398703707390059e-03	1.443794e+01	1.443844e+01
1.437766207390059e-03	1.481380e+01	1.481428e+01
1.476828707390059e-03	1.518741e+01	1.518789e+01
1.515891207390059e-03	1.555875e+01	1.555922e+01
1.554953707390059e-03	1.592773e+01	1.592820e+01
1.594016207390060e-03	1.629433e+01	1.629478e+01
1.633078707390060e-03	1.665845e+01	1.665891e+01
1.672141207390060e-03	1.702010e+01	1.702053e+01
1.711203707390060e-03	1.737914e+01	1.737958e+01
1.750266207390060e-03	1.773560e+01	1.773602e+01
1.789328707390060e-03	1.808937e+01	1.808979e+01
1.828391207390060e-03	1.844043e+01	1.844083e+01
1.867453707390060e-03	1.878869e+01	1.878910e+01
1.906516207390060e-03	1.913415e+01	1.913453e+01
1.945578707390060e-03	1.947669e+01	1.947709e+01
1.984641207390060e-03	1.981631e+01	1.981671e+01
2.005664010718630e-03	1.999501e+01	1.999826e+01
2.023625538476833e-03	2.012852e+01	2.015268e+01
2.042694850019818e-03	2.021611e+01	2.031592e+01
2.065646899792072e-03	2.027067e+01	2.051143e+01
2.097078602428238e-03	2.031155e+01	2.077744e+01
2.130264461660316e-03	2.033776e+01	2.105610e+01
2.364639461660316e-03	2.041694e+01	2.295725e+01
2.515309104517459e-03	2.043801e+01	2.412002e+01
2.665978747374602e-03	2.045639e+01	2.522298e+01
2.816648390231745e-03	2.047209e+01	2.626612e+01
2.967318033088888e-03	2.048511e+01	2.724945e+01
3.117987675946031e-03	2.049544e+01	2.817297e+01
3.268657318803174e-03	2.050310e+01	2.903668e+01
3.419326961660317e-03	2.050807e+01	2.984058e+01
3.888076961660317e-03	2.052340e+01	3.190291e+01
4.356826961660318e-03	2.053337e+01	3.324779e+01
4.825576961660319e-03	2.053798e+01	3.387522e+01
5.294326961660319e-03	2.053722e+01	3.378520e+01
5.763076961660320e-03	2.053110e+01	3.297773e+01
6.231826961660320e-03	2.051962e+01	3.145282e+01
6.700576961660320e-03	2.050277e+01	2.921045e+01
6.840085890231749e-03	2.049769e+01	2.842078e+01
6.979594818803178e-03	2.048982e+01	2.758085e+01
7.119103747374606e-03	2.047916e+01	2.669065e+01
