time	V(vo)
0.000000000000000e+00	0.000000e+00
7.142857226329270e-09	3.314042e-06
1.428571445265854e-08	1.091699e-05
2.142857167898781e-08	2.280883e-05
2.857142890531708e-08	3.898958e-05
3.571428613164635e-08	5.945923e-05
4.285714335797562e-08	8.421778e-05
5.000000058430487e-08	1.132652e-04
7.732285459217011e-08	2.494662e-04
1.226826839060037e-07	5.517352e-04
1.780302632900041e-07	1.007699e-03
2.644298982541718e-07	1.822985e-03
3.791147726032055e-07	2.994915e-03
5.665857759448707e-07	4.975420e-03
3.264539302097148e-06	3.374193e-02
5.962492828249426e-06	6.250806e-02
8.660446354401704e-06	9.127383e-02
1.135839988055398e-05	1.200392e-01
1.405635340670626e-05	1.488042e-01
1.675430693285854e-05	1.775689e-01
1.945226045901081e-05	2.063332e-01
3.863770775609366e-05	4.107744e-01
5.757778823745233e-05	6.122984e-01
7.972084193416974e-05	8.482285e-01
1.231067031914415e-04	1.310818e+00
1.487037073931570e-04	1.583575e+00
1.877662073931570e-04	1.999628e+00
2.268287073931570e-04	2.415321e+00
2.658912073931570e-04	2.830668e+00
3.049537073931570e-04	3.245544e+00
3.440162073931569e-04	3.659955e+00
3.830787073931569e-04	4.073775e+00
4.221412073931569e-04	4.487008e+00
4.612037073931569e-04	4.899529e+00
5.002662073931569e-04	5.311340e+00
5.393287073931569e-04	5.722316e+00
5.783912073931569e-04	6.132460e+00
6.174537073931570e-04	6.541645e+00
6.383704565907781e-04	6.758485e+00
6.543573387001242e-04	6.903065e+00
6.692997922072727e-04	6.987617e+00
6.878415304891359e-04	7.042920e+00
7.154770714147370e-04	7.086810e+00
7.419248322802071e-04	7.112657e+00
7.809873322802072e-04	7.138603e+00
8.200498322802072e-04	7.157680e+00
8.981748322802073e-04	7.183942e+00
9.818801894230646e-04	7.202165e+00
1.065585546565922e-03	7.218433e+00
1.149290903708779e-03	7.232747e+00
1.232996260851636e-03	7.245107e+00
1.316701617994493e-03	7.255513e+00
1.400406975137351e-03	7.263965e+00
1.484112332280208e-03	7.270463e+00
1.707326617994494e-03	7.287110e+00
1.930540903708780e-03	7.302049e+00
2.153755189423066e-03	7.315278e+00
2.376969475137352e-03	7.326799e+00
2.600183760851638e-03	7.336611e+00
2.823398046565923e-03	7.344713e+00
3.046612332280209e-03	7.351107e+00
3.626969475137353e-03	7.365422e+00
4.207326617994497e-03	7.374733e+00
4.787683760851640e-03	7.379040e+00
5.368040903708783e-03	7.378344e+00
5.948398046565927e-03	7.372645e+00
6.528755189423070e-03	7.361942e+00
7.109112332280213e-03	7.346235e+00
7.321165903708782e-03	7.339634e+00
7.533219475137351e-03	7.331289e+00
7.745273046565920e-03	7.321198e+00
7.957326617994490e-03	7.309362e+00
8.169380189423059e-03	7.295781e+00
8.381433760851629e-03	7.280454e+00
8.593487332280197e-03	7.263383e+00
8.666031975137338e-03	7.257056e+00
8.738576617994480e-03	7.249085e+00
8.811121260851621e-03	7.239470e+00
8.883665903708761e-03	7.228210e+00
8.956210546565903e-03	7.215306e+00
9.028755189423044e-03	7.200758e+00
9.101299832280186e-03	7.184566e+00
9.179424832280184e-03	7.158296e+00
9.218487332280183e-03	7.140015e+00
9.257549832280183e-03	7.114908e+00
9.296612332280182e-03	7.073393e+00
9.335674832280181e-03	6.970999e+00
9.354605709549284e-03	6.829350e+00
9.373623885479030e-03	6.636484e+00
9.379601596672138e-03	6.573438e+00
