V1	V(be)	Ib(Q1)
0.000000000000000e+00	1.006573e-07	-1.006573e-11
1.000000000000000e-01	1.000001e-01	-9.822004e-12
2.000000000000000e-01	2.000001e-01	-8.959528e-12
3.000000000000000e-01	3.000000e-01	5.184075e-12
4.000000000000000e-01	3.999955e-01	4.453775e-10
5.000000000000000e-01	4.998183e-01	1.817305e-08
6.000000000000001e-01	5.936368e-01	6.363289e-07
7.000000000000001e-01	6.488652e-01	5.113514e-06
8.000000000000000e-01	6.735949e-01	1.264052e-05
9.000000000000000e-01	6.882164e-01	2.117836e-05
1.000000000000000e+00	6.985520e-01	3.014480e-05
1.100000000000000e+00	7.065733e-01	3.934269e-05
1.200000000000000e+00	7.131498e-01	4.868502e-05
1.300000000000000e+00	7.187377e-01	5.812624e-05
1.400000000000000e+00	7.236041e-01	6.763959e-05
1.500000000000000e+00	7.249421e-01	7.750579e-05
1.600000000000000e+00	7.251658e-01	8.748342e-05
1.700000000000000e+00	7.253457e-01	9.746543e-05
1.800000000000000e+00	7.255099e-01	1.074490e-04
1.900000000000000e+00	7.256660e-01	1.174334e-04
2.000000000000000e+00	7.258170e-01	1.274183e-04
2.100000000000000e+00	7.259645e-01	1.374035e-04
2.200000000000000e+00	7.261093e-01	1.473891e-04
2.300000000000000e+00	7.262520e-01	1.573748e-04
2.400000000000000e+00	7.263930e-01	1.673607e-04
2.500000000000000e+00	7.265325e-01	1.773468e-04
2.600000000000000e+00	7.266708e-01	1.873329e-04
2.700000000000000e+00	7.268080e-01	1.973192e-04
2.800000000000000e+00	7.269440e-01	2.073056e-04
2.900000000000000e+00	7.270793e-01	2.172921e-04
3.000000000000000e+00	7.272136e-01	2.272786e-04
3.100000000000000e+00	7.273471e-01	2.372653e-04
3.200000000000000e+00	7.274799e-01	2.472520e-04
3.300000000000000e+00	7.276119e-01	2.572388e-04
3.400000000000000e+00	7.277432e-01	2.672257e-04
3.500000000000000e+00	7.278739e-01	2.772126e-04
3.600000000000000e+00	7.280040e-01	2.871996e-04
3.700000000000000e+00	7.281334e-01	2.971867e-04
3.800000000000000e+00	7.282622e-01	3.071738e-04
3.900000000000000e+00	7.283905e-01	3.171609e-04
4.000000000000000e+00	7.285181e-01	3.271482e-04
4.100000000000001e+00	7.286452e-01	3.371355e-04
4.200000000000000e+00	7.287718e-01	3.471228e-04
4.300000000000000e+00	7.288979e-01	3.571102e-04
4.400000000000000e+00	7.290234e-01	3.670977e-04
4.500000000000000e+00	7.291484e-01	3.770852e-04
4.600000000000001e+00	7.292729e-01	3.870727e-04
4.700000000000000e+00	7.293969e-01	3.970603e-04
4.800000000000001e+00	7.295204e-01	4.070479e-04
4.900000000000000e+00	7.296435e-01	4.170357e-04
5.000000000000000e+00	7.297661e-01	4.270234e-04
5.100000000000001e+00	7.298881e-01	4.370112e-04
5.200000000000000e+00	7.300098e-01	4.469990e-04
5.300000000000001e+00	7.301310e-01	4.569869e-04
5.400000000000000e+00	7.302517e-01	4.669748e-04
5.500000000000000e+00	7.303720e-01	4.769628e-04
5.600000000000001e+00	7.304919e-01	4.869508e-04
5.700000000000000e+00	7.306113e-01	4.969389e-04
5.800000000000001e+00	7.307303e-01	5.069270e-04
5.900000000000000e+00	7.308488e-01	5.169151e-04
6.000000000000000e+00	7.309670e-01	5.269033e-04
6.100000000000001e+00	7.310848e-01	5.368915e-04
6.200000000000000e+00	7.312021e-01	5.468798e-04
6.300000000000001e+00	7.313190e-01	5.568681e-04
6.400000000000000e+00	7.314355e-01	5.668565e-04
6.500000000000000e+00	7.315516e-01	5.768448e-04
6.600000000000001e+00	7.316673e-01	5.868333e-04
6.700000000000000e+00	7.317826e-01	5.968217e-04
6.800000000000001e+00	7.318975e-01	6.068103e-04
6.900000000000000e+00	7.320121e-01	6.167988e-04
7.000000000000000e+00	7.321262e-01	6.267874e-04
7.100000000000001e+00	7.322400e-01	6.367760e-04
7.200000000000000e+00	7.323534e-01	6.467646e-04
7.300000000000001e+00	7.324665e-01	6.567534e-04
7.400000000000000e+00	7.325791e-01	6.667421e-04
7.500000000000000e+00	7.326914e-01	6.767309e-04
7.600000000000001e+00	7.328033e-01	6.867197e-04
7.700000000000000e+00	7.329149e-01	6.967085e-04
7.800000000000001e+00	7.330261e-01	7.066974e-04
7.900000000000000e+00	7.331370e-01	7.166863e-04
8.000000000000000e+00	7.332475e-01	7.266753e-04
8.100000000000000e+00	7.333577e-01	7.366642e-04
8.200000000000001e+00	7.334675e-01	7.466532e-04
8.300000000000001e+00	7.335770e-01	7.566423e-04
8.400000000000000e+00	7.336861e-01	7.666314e-04
8.500000000000000e+00	7.337949e-01	7.766205e-04
8.600000000000000e+00	7.339033e-01	7.866097e-04
8.700000000000001e+00	7.340114e-01	7.965988e-04
8.800000000000001e+00	7.341192e-01	8.065881e-04
8.900000000000000e+00	7.342266e-01	8.165773e-04
9.000000000000000e+00	7.343338e-01	8.265666e-04
9.100000000000000e+00	7.344406e-01	8.365560e-04
9.200000000000001e+00	7.345471e-01	8.465453e-04
9.300000000000001e+00	7.346532e-01	8.565347e-04
9.400000000000000e+00	7.347591e-01	8.665241e-04
9.500000000000000e+00	7.348647e-01	8.765135e-04
9.600000000000001e+00	7.349699e-01	8.865030e-04
9.700000000000001e+00	7.350748e-01	8.964925e-04
9.800000000000001e+00	7.351794e-01	9.064820e-04
9.900000000000000e+00	7.352837e-01	9.164716e-04
1.000000000000000e+01	7.353877e-01	9.264612e-04
