V2	V(ce)	Ic(Q1)
Step Information: Vbb=0  (Step: 1/26)
0.000000000000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-01	1.000000e-01	1.862889e-13
2.000000000000000e-01	2.000000e-01	2.895723e-13
3.000000000000000e-01	3.000000e-01	-1.029503e-12
4.000000000000000e-01	4.000000e-01	-9.295179e-13
5.000000000000000e-01	5.000000e-01	5.897897e-13
6.000000000000001e-01	6.000000e-01	6.897751e-13
7.000000000000001e-01	7.000000e-01	-6.293005e-13
8.000000000000000e-01	8.000000e-01	-5.293805e-13
9.000000000000000e-01	9.000000e-01	9.899271e-13
1.000000000000000e+00	1.000000e+00	1.089978e-12
1.100000000000000e+00	1.100000e+00	-2.293590e-13
1.200000000000000e+00	1.200000e+00	-1.293083e-13
1.300000000000000e+00	1.300000e+00	1.389999e-12
1.400000000000000e+00	1.400000e+00	1.490311e-12
1.500000000000000e+00	1.500000e+00	1.708437e-13
1.600000000000000e+00	1.600000e+00	2.708944e-13
1.700000000000000e+00	1.700000e+00	1.790202e-12
1.800000000000000e+00	1.800000e+00	1.890253e-12
1.900000000000000e+00	1.900000e+00	5.710465e-13
2.000000000000000e+00	2.000000e+00	6.710972e-13
2.100000000000000e+00	2.100000e+00	2.190143e-12
2.200000000000000e+00	2.200000e+00	2.290455e-12
2.300000000000000e+00	2.300000e+00	9.712492e-13
2.400000000000000e+00	2.400000e+00	1.071039e-12
2.500000000000000e+00	2.500000e+00	2.590346e-12
2.600000000000000e+00	2.600000e+00	2.690136e-12
2.700000000000000e+00	2.700000e+00	1.371452e-12
2.800000000000000e+00	2.800000e+00	1.471764e-12
2.900000000000000e+00	2.900000e+00	2.990549e-12
3.000000000000000e+00	3.000000e+00	3.090861e-12
3.100000000000000e+00	3.100000e+00	1.771655e-12
3.200000000000000e+00	3.200000e+00	1.871444e-12
3.300000000000000e+00	3.300000e+00	3.390752e-12
3.400000000000000e+00	3.400000e+00	3.490541e-12
3.500000000000000e+00	3.500000e+00	2.171335e-12
3.600000000000000e+00	3.600000e+00	2.271647e-12
3.700000000000000e+00	3.700000e+00	3.790432e-12
3.800000000000000e+00	3.800000e+00	3.891266e-12
3.900000000000000e+00	3.900000e+00	2.572060e-12
4.000000000000000e+00	4.000000e+00	2.671850e-12
4.100000000000001e+00	4.100000e+00	4.191157e-12
4.200000000000000e+00	4.200000e+00	4.291469e-12
4.300000000000000e+00	4.300000e+00	2.971740e-12
4.400000000000000e+00	4.400000e+00	3.072052e-12
4.500000000000000e+00	4.500000e+00	4.591360e-12
4.600000000000001e+00	4.600000e+00	4.690627e-12
4.700000000000000e+00	4.700000e+00	3.371943e-12
4.800000000000001e+00	4.800000e+00	3.472255e-12
4.900000000000000e+00	4.900000e+00	4.990518e-12
5.000000000000000e+00	5.000000e+00	5.090830e-12
5.100000000000001e+00	5.100000e+00	3.772146e-12
5.200000000000000e+00	5.200000e+00	3.871413e-12
5.300000000000001e+00	5.300000e+00	5.390720e-12
5.400000000000000e+00	5.400000e+00	5.492077e-12
