V1	Ib(Q1)	Ic(Q1)
Step Information: Vcc=2  (Step: 1/3)
0.000000000000000e+00	-2.065727e-12	2.090354e-12
2.000000000000000e-01	-9.595102e-13	5.420683e-11
4.000000000000000e-01	4.527101e-10	1.109050e-07
6.000000000000001e-01	2.798290e-07	8.050844e-05
8.000000000000000e-01	1.791077e-06	5.156015e-04
1.000000000000000e+00	3.605577e-06	1.030712e-03
1.200000000000000e+00	5.493002e-06	1.557611e-03
1.400000000000000e+00	7.412183e-06	2.084206e-03
1.600000000000000e+00	9.349042e-06	2.606516e-03
1.800000000000000e+00	1.129834e-05	3.109742e-03
2.000000000000000e+00	1.328275e-05	3.273437e-03
2.200000000000000e+00	1.527821e-05	3.313684e-03
2.400000000000000e+00	1.727524e-05	3.335768e-03
2.600000000000000e+00	1.927287e-05	3.350888e-03
2.800000000000000e+00	2.127080e-05	3.362340e-03
3.000000000000000e+00	2.326894e-05	3.371533e-03
3.200000000000000e+00	2.526720e-05	3.379196e-03
3.400000000000000e+00	2.726556e-05	3.385756e-03
3.600000000000000e+00	2.926399e-05	3.391482e-03
3.800000000000000e+00	3.126248e-05	3.396558e-03
4.000000000000000e+00	3.326101e-05	3.401112e-03
4.200000000000000e+00	3.525958e-05	3.405237e-03
4.400000000000000e+00	3.725819e-05	3.409004e-03
4.600000000000001e+00	3.925682e-05	3.412468e-03
4.800000000000001e+00	4.125548e-05	3.415673e-03
5.000000000000000e+00	4.325416e-05	3.418652e-03
Step Information: Vcc=5  (Step: 2/3)
0.000000000000000e+00	-5.065727e-12	5.090830e-12
2.000000000000000e-01	-3.959499e-12	5.964170e-11
4.000000000000000e-01	4.497150e-10	1.161222e-07
6.000000000000001e-01	2.798183e-07	8.432577e-05
8.000000000000000e-01	1.790977e-06	5.400995e-04
1.000000000000000e+00	3.605363e-06	1.079730e-03
1.200000000000000e+00	5.492671e-06	1.631730e-03
1.400000000000000e+00	7.411734e-06	2.183425e-03
1.600000000000000e+00	9.348476e-06	2.730644e-03
1.800000000000000e+00	1.129646e-05	3.271624e-03
2.000000000000000e+00	1.325221e-05	3.805541e-03
2.200000000000000e+00	1.521366e-05	4.332005e-03
2.400000000000000e+00	1.717946e-05	4.850850e-03
2.600000000000000e+00	1.914870e-05	5.362041e-03
2.800000000000000e+00	2.112071e-05	5.865614e-03
3.000000000000000e+00	2.309502e-05	6.361656e-03
3.200000000000000e+00	2.507126e-05	6.850278e-03
3.400000000000000e+00	2.704915e-05	7.331612e-03
3.600000000000000e+00	2.902846e-05	7.805797e-03
3.800000000000000e+00	3.100904e-05	8.272108e-03
4.000000000000000e+00	3.299790e-05	8.544892e-03
4.200000000000000e+00	3.499530e-05	8.600819e-03
4.400000000000000e+00	3.699383e-05	8.627416e-03
4.600000000000001e+00	3.899270e-05	8.644710e-03
4.800000000000001e+00	4.099176e-05	8.657477e-03
5.000000000000000e+00	4.299091e-05	8.667571e-03
Step Information: Vcc=10  (Step: 3/3)
0.000000000000000e+00	-1.006573e-11	1.009180e-11
2.000000000000000e-01	-8.959500e-12	6.869903e-11
4.000000000000000e-01	4.447230e-10	1.248179e-07
6.000000000000001e-01	2.798005e-07	9.068752e-05
8.000000000000000e-01	1.790809e-06	5.809236e-04
1.000000000000000e+00	3.605006e-06	1.161413e-03
1.200000000000000e+00	5.492118e-06	1.755243e-03
1.400000000000000e+00	7.410986e-06	2.348767e-03
1.600000000000000e+00	9.347533e-06	2.937491e-03
1.800000000000000e+00	1.129532e-05	3.519519e-03
2.000000000000000e+00	1.325089e-05	4.093959e-03
2.200000000000000e+00	1.521215e-05	4.660391e-03
2.400000000000000e+00	1.717776e-05	5.218635e-03
2.600000000000000e+00	1.914682e-05	5.768651e-03
2.800000000000000e+00	2.111865e-05	6.310480e-03
3.000000000000000e+00	2.309279e-05	6.844210e-03
3.200000000000000e+00	2.506885e-05	7.369964e-03
3.400000000000000e+00	2.704657e-05	7.887880e-03
3.600000000000000e+00	2.902571e-05	8.398112e-03
3.800000000000000e+00	3.100609e-05	8.900816e-03
4.000000000000000e+00	3.298757e-05	9.396154e-03
4.200000000000000e+00	3.497002e-05	9.884289e-03
4.400000000000000e+00	3.695333e-05	1.036538e-02
4.600000000000001e+00	3.893743e-05	1.083960e-02
4.800000000000001e+00	4.092223e-05	1.130709e-02
5.000000000000000e+00	4.290767e-05	1.176801e-02
