V2	V(va)	Ix(U1:A)
0.000000000000000e+00	0.000000e+00	0.000000e+00
2.000000000000000e+01	4.314567e-01	4.163520e-03
4.000000000000000e+01	5.239179e-01	8.399166e-03
6.000000000000000e+01	6.088257e-01	1.263642e-02
8.000000000000000e+01	6.906650e-01	1.687433e-02
1.000000000000000e+02	7.708276e-01	2.111259e-02
1.200000000000000e+02	8.499331e-01	2.535108e-02
1.400000000000000e+02	9.283103e-01	2.958972e-02
1.600000000000000e+02	1.006155e+00	3.382848e-02
1.800000000000000e+02	1.083593e+00	3.806732e-02
2.000000000000000e+02	1.160711e+00	4.230623e-02
2.200000000000000e+02	1.237572e+00	4.654520e-02
2.400000000000000e+02	1.314217e+00	5.078421e-02
2.600000000000000e+02	1.390683e+00	5.502326e-02
2.800000000000000e+02	1.466997e+00	5.926234e-02
3.000000000000000e+02	1.543180e+00	6.350145e-02
3.200000000000000e+02	1.619248e+00	6.774058e-02
3.400000000000000e+02	1.695216e+00	7.197974e-02
3.600000000000000e+02	1.771096e+00	7.621892e-02
3.800000000000000e+02	1.846896e+00	8.045810e-02
4.000000000000000e+02	1.922625e+00	8.469731e-02
4.200000000000000e+02	1.998290e+00	8.893654e-02
4.400000000000000e+02	2.073896e+00	9.317577e-02
4.600000000000000e+02	2.149451e+00	9.741501e-02
4.800000000000000e+02	2.224957e+00	1.016543e-01
5.000000000000000e+02	2.300418e+00	1.058935e-01
5.200000000000000e+02	2.375838e+00	1.101328e-01
5.400000000000000e+02	2.451221e+00	1.143721e-01
5.600000000000000e+02	2.526569e+00	1.186114e-01
5.800000000000000e+02	2.601884e+00	1.228507e-01
6.000000000000000e+02	2.677169e+00	1.270900e-01
6.200000000000000e+02	2.752426e+00	1.313293e-01
6.400000000000000e+02	2.827657e+00	1.355686e-01
6.600000000000000e+02	2.902862e+00	1.398079e-01
6.800000000000000e+02	2.978044e+00	1.440472e-01
7.000000000000000e+02	3.053204e+00	1.482866e-01
7.200000000000000e+02	3.128343e+00	1.525259e-01
7.400000000000000e+02	3.203463e+00	1.567652e-01
7.600000000000000e+02	3.278564e+00	1.610046e-01
7.800000000000000e+02	3.353648e+00	1.652439e-01
8.000000000000000e+02	3.428715e+00	1.694833e-01
