V1	V(vg)	Ix(U1:A)
0.000000000000000e+00	5.900100e-01	1.129238e-02
1.000000000000000e-01	5.899835e-01	1.118788e-02
2.000000000000000e-01	5.899523e-01	1.108333e-02
3.000000000000000e-01	5.899199e-01	1.097873e-02
4.000000000000000e-01	5.898851e-01	1.087409e-02
5.000000000000000e-01	5.898477e-01	1.076940e-02
6.000000000000001e-01	5.898077e-01	1.066465e-02
7.000000000000001e-01	5.897652e-01	1.055987e-02
8.000000000000000e-01	5.897200e-01	1.045502e-02
9.000000000000000e-01	5.896720e-01	1.035013e-02
1.000000000000000e+00	5.896213e-01	1.024518e-02
1.100000000000000e+00	5.895678e-01	1.014018e-02
1.200000000000000e+00	5.895113e-01	1.003512e-02
1.300000000000000e+00	5.894518e-01	9.930010e-03
1.400000000000000e+00	5.893893e-01	9.824838e-03
1.500000000000000e+00	5.893237e-01	9.719605e-03
1.600000000000000e+00	5.892549e-01	9.614312e-03
1.700000000000000e+00	5.891828e-01	9.508956e-03
1.800000000000000e+00	5.891073e-01	9.403537e-03
1.900000000000000e+00	5.890285e-01	9.298052e-03
2.000000000000000e+00	5.889462e-01	9.192499e-03
2.100000000000000e+00	5.888602e-01	9.086877e-03
2.200000000000000e+00	5.887706e-01	8.981186e-03
2.300000000000000e+00	5.886771e-01	8.875421e-03
2.400000000000000e+00	5.885798e-01	8.769582e-03
2.500000000000000e+00	5.884785e-01	8.663667e-03
2.600000000000000e+00	5.883731e-01	8.557674e-03
2.700000000000000e+00	5.882635e-01	8.451601e-03
2.800000000000000e+00	5.881495e-01	8.345444e-03
2.900000000000000e+00	5.880312e-01	8.239202e-03
3.000000000000000e+00	5.879083e-01	8.132873e-03
3.100000000000000e+00	5.877806e-01	8.026454e-03
3.200000000000000e+00	5.876482e-01	7.919942e-03
3.300000000000000e+00	5.875106e-01	7.813334e-03
3.400000000000000e+00	5.873681e-01	7.706630e-03
3.500000000000000e+00	5.872202e-01	7.599823e-03
3.600000000000000e+00	5.870668e-01	7.492912e-03
3.700000000000000e+00	5.869079e-01	7.385893e-03
3.800000000000000e+00	5.867431e-01	7.278763e-03
3.900000000000000e+00	5.865722e-01	7.171518e-03
4.000000000000000e+00	5.863953e-01	7.064153e-03
4.100000000000001e+00	5.862118e-01	6.956667e-03
4.200000000000000e+00	5.860218e-01	6.849053e-03
4.300000000000000e+00	5.858248e-01	6.741308e-03
4.400000000000000e+00	5.856208e-01	6.633426e-03
4.500000000000000e+00	5.854093e-01	6.525402e-03
4.600000000000001e+00	5.851902e-01	6.417233e-03
4.700000000000000e+00	5.849631e-01	6.308910e-03
4.800000000000001e+00	5.847278e-01	6.200430e-03
4.900000000000000e+00	5.844838e-01	6.091785e-03
5.000000000000000e+00	5.842309e-01	5.982968e-03
5.100000000000001e+00	5.839687e-01	5.873974e-03
5.200000000000000e+00	5.836968e-01	5.764793e-03
