V1	V(vg)	Ix(U1:G)
0.000000000000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-01	9.890590e-02	2.327870e-07
2.000000000000000e-01	1.771556e-01	4.860516e-06
3.000000000000000e-01	2.124524e-01	1.862714e-05
4.000000000000000e-01	2.302715e-01	3.611244e-05
5.000000000000000e-01	2.418423e-01	5.492718e-05
6.000000000000001e-01	2.504054e-01	7.438183e-05
7.000000000000001e-01	2.572226e-01	9.420796e-05
8.000000000000000e-01	2.629043e-01	1.142757e-04
9.000000000000000e-01	2.677879e-01	1.345132e-04
1.000000000000000e+00	2.720794e-01	1.548767e-04
1.100000000000000e+00	2.759134e-01	1.753376e-04
1.200000000000000e+00	2.793828e-01	1.958760e-04
1.300000000000000e+00	2.825544e-01	2.164778e-04
1.400000000000000e+00	2.854790e-01	2.371321e-04
1.500000000000000e+00	2.881922e-01	2.578314e-04
1.600000000000000e+00	2.907252e-01	2.785691e-04
1.700000000000000e+00	2.931016e-01	2.993401e-04
1.800000000000000e+00	2.953408e-01	3.201402e-04
1.900000000000000e+00	2.974587e-01	3.409662e-04
2.000000000000000e+00	2.994684e-01	3.618152e-04
2.100000000000000e+00	3.013811e-01	3.826849e-04
2.200000000000000e+00	3.032064e-01	4.035731e-04
2.300000000000000e+00	3.049524e-01	4.244782e-04
2.400000000000000e+00	3.066262e-01	4.453987e-04
2.500000000000000e+00	3.082340e-01	4.663332e-04
2.600000000000000e+00	3.097811e-01	4.872806e-04
2.700000000000000e+00	3.112725e-01	5.082399e-04
2.800000000000000e+00	3.127123e-01	5.292101e-04
2.900000000000000e+00	3.141043e-01	5.501906e-04
3.000000000000000e+00	3.154519e-01	5.711804e-04
3.100000000000000e+00	3.167582e-01	5.921791e-04
3.200000000000000e+00	3.180258e-01	6.131860e-04
3.300000000000000e+00	3.192573e-01	6.342006e-04
3.400000000000000e+00	3.204549e-01	6.552223e-04
3.500000000000000e+00	3.216207e-01	6.762509e-04
3.600000000000000e+00	3.227566e-01	6.972858e-04
3.700000000000000e+00	3.238643e-01	7.183267e-04
3.800000000000000e+00	3.249454e-01	7.393733e-04
3.900000000000000e+00	3.260013e-01	7.604252e-04
4.000000000000000e+00	3.270334e-01	7.814823e-04
4.100000000000001e+00	3.280428e-01	8.025441e-04
4.200000000000000e+00	3.290309e-01	8.236105e-04
4.300000000000000e+00	3.299985e-01	8.446812e-04
4.400000000000000e+00	3.309468e-01	8.657560e-04
4.500000000000000e+00	3.318766e-01	8.868348e-04
4.600000000000001e+00	3.327888e-01	9.079173e-04
4.700000000000000e+00	3.336842e-01	9.290033e-04
4.800000000000001e+00	3.345635e-01	9.500929e-04
4.900000000000000e+00	3.354275e-01	9.711856e-04
5.000000000000000e+00	3.362768e-01	9.922816e-04
5.100000000000001e+00	3.371120e-01	1.013380e-03
5.200000000000000e+00	3.379337e-01	1.034482e-03
5.300000000000001e+00	3.387424e-01	1.055587e-03
5.400000000000000e+00	3.395387e-01	1.076694e-03
5.500000000000000e+00	3.403231e-01	1.097804e-03
5.600000000000001e+00	3.410960e-01	1.118916e-03
5.700000000000000e+00	3.418578e-01	1.140030e-03
5.800000000000001e+00	3.426089e-01	1.161147e-03
5.900000000000000e+00	3.433498e-01	1.182266e-03
6.000000000000000e+00	3.440808e-01	1.203387e-03
6.100000000000001e+00	3.448023e-01	1.224510e-03
6.200000000000000e+00	3.455145e-01	1.245635e-03
6.300000000000001e+00	3.462178e-01	1.266762e-03
6.400000000000000e+00	3.469126e-01	1.287891e-03
6.500000000000000e+00	3.475990e-01	1.309021e-03
6.600000000000001e+00	3.482774e-01	1.330154e-03
6.700000000000000e+00	3.489480e-01	1.351288e-03
6.800000000000001e+00	3.496110e-01	1.372423e-03
6.900000000000000e+00	3.502668e-01	1.393560e-03
7.000000000000000e+00	3.509155e-01	1.414699e-03
7.100000000000001e+00	3.515573e-01	1.435839e-03
7.200000000000000e+00	3.521924e-01	1.456980e-03
7.300000000000001e+00	3.528211e-01	1.478123e-03
7.400000000000000e+00	3.534435e-01	1.499267e-03
7.500000000000000e+00	3.540598e-01	1.520413e-03
7.600000000000001e+00	3.546702e-01	1.541560e-03
7.700000000000000e+00	3.552749e-01	1.562707e-03
7.800000000000001e+00	3.558739e-01	1.583857e-03
7.900000000000000e+00	3.564675e-01	1.605007e-03
8.000000000000000e+00	3.570558e-01	1.626158e-03
8.100000000000000e+00	3.576389e-01	1.647311e-03
8.200000000000001e+00	3.582170e-01	1.668465e-03
8.300000000000001e+00	3.587903e-01	1.689619e-03
8.400000000000000e+00	3.593587e-01	1.710775e-03
8.500000000000000e+00	3.599225e-01	1.731931e-03
8.600000000000000e+00	3.604818e-01	1.753089e-03
