 time vin vout
 0.00000000e+00  0.00000000e+00  1.24135760e+00 
 4.00000000e-12  7.20000000e-03  1.24235244e+00 
 8.00000000e-12  1.44000000e-02  1.24204429e+00 
 1.60000000e-11  2.88000000e-02  1.23948127e+00 
 3.20000000e-11  5.76000000e-02  1.22717519e+00 
 6.40000000e-11  1.15200000e-01  1.19120995e+00 
 1.28000000e-10  2.30400000e-01  1.09183064e+00 
 2.56000000e-10  4.60800000e-01  8.04673832e-01 
 5.12000000e-10  9.21600000e-01  9.25447638e-02 
 1.00000000e-09  1.80000000e+00 -2.33753687e-03 
 1.05000000e-09  1.80000000e+00 -7.87232909e-05 
 1.15000000e-09  1.80000000e+00  7.34742420e-05 
 1.35000000e-09  1.80000000e+00 -7.03712776e-05 
 1.75000000e-09  1.80000000e+00  6.94646971e-05 
 2.25000000e-09  1.80000000e+00 -6.80302674e-05 
 2.75000000e-09  1.80000000e+00  6.74181408e-05 
 3.25000000e-09  1.80000000e+00 -6.60144131e-05 
 3.75000000e-09  1.80000000e+00  6.54320766e-05 
 4.25000000e-09  1.80000000e+00 -6.40581371e-05 
 4.75000000e-09  1.80000000e+00  6.35047160e-05 
 5.25000000e-09  1.80000000e+00 -6.21596784e-05 
 5.75000000e-09  1.80000000e+00  6.16343237e-05 
 6.00000000e-09  1.80000000e+00 -5.94151461e-05 
 6.05000000e-09  1.71000000e+00 -1.23437038e-03 
 6.15000000e-09  1.53000000e+00 -1.58483547e-03 
 6.35000000e-09  1.17000000e+00  7.15850705e-04 
 6.75000000e-09  4.50000000e-01  6.78879542e-01 
 7.00000000e-09  0.00000000e+00  1.22626725e+00 
 7.05000000e-09  0.00000000e+00  1.23866919e+00 
 7.15000000e-09  0.00000000e+00  1.24307970e+00 
 7.35000000e-09  0.00000000e+00  1.23996983e+00 
 7.75000000e-09  0.00000000e+00  1.24264402e+00 
 8.25000000e-09  0.00000000e+00  1.24024006e+00 
 8.75000000e-09  0.00000000e+00  1.24241048e+00 
 9.25000000e-09  0.00000000e+00  1.24041226e+00 
 9.75000000e-09  0.00000000e+00  1.24224044e+00 
 1.00000000e-08  0.00000000e+00  1.24062599e+00 
 1.00500000e-08  9.00000000e-02  1.20337386e+00 
 1.01500000e-08  2.70000000e-01  1.05225651e+00 
 1.03500000e-08  6.30000000e-01  5.66900949e-01 
 1.07500000e-08  1.35000000e+00  3.56809821e-03 
 1.10000000e-08  1.80000000e+00  3.76844171e-04 
 1.10500000e-08  1.80000000e+00  1.44887778e-05 
 1.11500000e-08  1.80000000e+00 -1.29832687e-05 
 1.13500000e-08  1.80000000e+00  1.29678296e-05 
 1.17500000e-08  1.80000000e+00 -1.23307961e-05 
 1.22500000e-08  1.80000000e+00  1.25569992e-05 
 1.27500000e-08  1.80000000e+00 -1.19492588e-05 
 1.32500000e-08  1.80000000e+00  1.21911322e-05 
 1.37500000e-08  1.80000000e+00 -1.15895982e-05 
 1.42500000e-08  1.80000000e+00  1.18361761e-05 
 1.47500000e-08  1.80000000e+00 -1.12405738e-05 
 1.52500000e-08  1.80000000e+00  1.14917131e-05 
 1.57500000e-08  1.80000000e+00 -1.09018700e-05 
 1.60000000e-08  1.80000000e+00  1.09826274e-05 
 1.60500000e-08  1.71000000e+00 -1.23180232e-03 
 1.61500000e-08  1.53000000e+00 -1.58761748e-03 
 1.63500000e-08  1.17000000e+00  7.20082570e-04 
 1.67500000e-08  4.50000000e-01  6.78855820e-01 
 1.70000000e-08  0.00000000e+00  1.22627765e+00 
 1.70500000e-08  0.00000000e+00  1.23867104e+00 
 1.71500000e-08  0.00000000e+00  1.24307852e+00 
 1.73500000e-08  0.00000000e+00  1.23997079e+00 
 1.77500000e-08  0.00000000e+00  1.24264311e+00 
 1.82500000e-08  0.00000000e+00  1.24024082e+00 
 1.87500000e-08  0.00000000e+00  1.24240975e+00 
 1.92500000e-08  0.00000000e+00  1.24041290e+00 
 1.97500000e-08  0.00000000e+00  1.24223983e+00 
 2.00000000e-08  0.00000000e+00  1.24062649e+00 
 2.00500000e-08  9.00000000e-02  1.20337396e+00 
 2.01500000e-08  2.70000000e-01  1.05225643e+00 
 2.03500000e-08  6.30000000e-01  5.66901017e-01 
 2.07500000e-08  1.35000000e+00  3.56809128e-03 
 2.10000000e-08  1.80000000e+00  3.76848571e-04 
 2.10500000e-08  1.80000000e+00  1.44889475e-05 
 2.11500000e-08  1.80000000e+00 -1.29834245e-05 
 2.13500000e-08  1.80000000e+00  1.29679813e-05 
 2.17500000e-08  1.80000000e+00 -1.23309449e-05 
 2.22500000e-08  1.80000000e+00  1.25571460e-05 
 2.27500000e-08  1.80000000e+00 -1.19494032e-05 
 2.32500000e-08  1.80000000e+00  1.21912747e-05 
 2.37500000e-08  1.80000000e+00 -1.15897383e-05 
 2.42500000e-08  1.80000000e+00  1.18363144e-05 
 2.47500000e-08  1.80000000e+00 -1.12407098e-05 
 2.52500000e-08  1.80000000e+00  1.14918473e-05 
 2.57500000e-08  1.80000000e+00 -1.09020019e-05 
 2.60000000e-08  1.80000000e+00  1.09827555e-05 
 2.60500000e-08  1.71000000e+00 -1.23180231e-03 
 2.61500000e-08  1.53000000e+00 -1.58761748e-03 
 2.63500000e-08  1.17000000e+00  7.20082579e-04 
 2.67500000e-08  4.50000000e-01  6.78855820e-01 
 2.70000000e-08  0.00000000e+00  1.22627765e+00 
 2.70500000e-08  0.00000000e+00  1.23867104e+00 
 2.71500000e-08  0.00000000e+00  1.24307852e+00 
 2.73500000e-08  0.00000000e+00  1.23997079e+00 
 2.77500000e-08  0.00000000e+00  1.24264311e+00 
 2.82500000e-08  0.00000000e+00  1.24024082e+00 
 2.87500000e-08  0.00000000e+00  1.24240975e+00 
 2.92500000e-08  0.00000000e+00  1.24041290e+00 
 2.97500000e-08  0.00000000e+00  1.24223983e+00 
 3.00000000e-08  0.00000000e+00  1.24062649e+00 
 3.00500000e-08  9.00000000e-02  1.20337396e+00 
 3.01500000e-08  2.70000000e-01  1.05225643e+00 
 3.03500000e-08  6.30000000e-01  5.66901017e-01 
 3.07500000e-08  1.35000000e+00  3.56809127e-03 
 3.10000000e-08  1.80000000e+00  3.76848571e-04 
 3.10500000e-08  1.80000000e+00  1.44889475e-05 
 3.11500000e-08  1.80000000e+00 -1.29834245e-05 
 3.13500000e-08  1.80000000e+00  1.29679813e-05 
 3.17500000e-08  1.80000000e+00 -1.23309449e-05 
 3.22500000e-08  1.80000000e+00  1.25571460e-05 
 3.27500000e-08  1.80000000e+00 -1.19494032e-05 
 3.32500000e-08  1.80000000e+00  1.21912747e-05 
 3.37500000e-08  1.80000000e+00 -1.15897383e-05 
 3.42500000e-08  1.80000000e+00  1.18363144e-05 
 3.47500000e-08  1.80000000e+00 -1.12407098e-05 
 3.52500000e-08  1.80000000e+00  1.14918473e-05 
 3.57500000e-08  1.80000000e+00 -1.09020019e-05 
 3.60000000e-08  1.80000000e+00  1.09827555e-05 
 3.60500000e-08  1.71000000e+00 -1.23180231e-03 
 3.61500000e-08  1.53000000e+00 -1.58761748e-03 
 3.63500000e-08  1.17000000e+00  7.20082579e-04 
 3.67500000e-08  4.50000000e-01  6.78855820e-01 
 3.70000000e-08  6.43929354e-15  1.22627765e+00 
 3.70500000e-08  0.00000000e+00  1.23867104e+00 
 3.71500000e-08  0.00000000e+00  1.24307852e+00 
 3.73500000e-08  0.00000000e+00  1.23997079e+00 
 3.77500000e-08  0.00000000e+00  1.24264311e+00 
 3.82500000e-08  0.00000000e+00  1.24024082e+00 
 3.87500000e-08  0.00000000e+00  1.24240975e+00 
 3.92500000e-08  0.00000000e+00  1.24041290e+00 
 3.97500000e-08  0.00000000e+00  1.24223983e+00 
 4.00000000e-08  0.00000000e+00  1.24062649e+00 
