 time vin vout
 0.00000000e+00  0.00000000e+00  1.24129229e+00 
 4.00000000e-12  7.20000000e-03  1.24208563e+00 
 8.00000000e-12  1.44000000e-02  1.24099415e+00 
 1.60000000e-11  2.88000000e-02  1.23647087e+00 
 3.20000000e-11  5.76000000e-02  1.22073695e+00 
 6.40000000e-11  1.15200000e-01  1.18168925e+00 
 1.28000000e-10  2.30400000e-01  1.07637292e+00 
 2.56000000e-10  4.60800000e-01  7.77763079e-01 
 5.12000000e-10  9.21600000e-01  7.67764312e-02 
 1.00000000e-09  1.80000000e+00 -7.70689414e-04 
 1.05000000e-09  1.80000000e+00 -1.56091076e-05 
 1.15000000e-09  1.80000000e+00  1.53167677e-05 
 1.35000000e-09  1.80000000e+00 -1.45709148e-05 
 1.75000000e-09  1.80000000e+00  1.48009603e-05 
 2.25000000e-09  1.80000000e+00 -1.42553619e-05 
 2.75000000e-09  1.80000000e+00  1.45489957e-05 
 3.25000000e-09  1.80000000e+00 -1.39894064e-05 
 3.75000000e-09  1.80000000e+00  1.42858608e-05 
 4.25000000e-09  1.80000000e+00 -1.37291593e-05 
 4.75000000e-09  1.80000000e+00  1.40275467e-05 
 5.25000000e-09  1.80000000e+00 -1.34736821e-05 
 5.75000000e-09  1.80000000e+00  1.37739653e-05 
 6.00000000e-09  1.80000000e+00 -1.31103437e-05 
 6.05000000e-09  1.71000000e+00 -9.89213708e-04 
 6.15000000e-09  1.53000000e+00 -1.25736519e-03 
 6.35000000e-09  1.17000000e+00  1.22407720e-03 
 6.75000000e-09  4.50000000e-01  7.11401044e-01 
 7.00000000e-09  0.00000000e+00  1.23466661e+00 
 7.05000000e-09  0.00000000e+00  1.24059529e+00 
 7.15000000e-09  0.00000000e+00  1.24184097e+00 
 7.35000000e-09  0.00000000e+00  1.24081108e+00 
 7.75000000e-09  0.00000000e+00  1.24175765e+00 
 8.25000000e-09  0.00000000e+00  1.24085533e+00 
 8.75000000e-09  0.00000000e+00  1.24171252e+00 
 9.25000000e-09  0.00000000e+00  1.24089401e+00 
 9.75000000e-09  0.00000000e+00  1.24167444e+00 
 1.00000000e-08  0.00000000e+00  1.24094598e+00 
 1.00500000e-08  9.00000000e-02  1.19780846e+00 
 1.01500000e-08  2.70000000e-01  1.03264485e+00 
 1.03500000e-08  6.30000000e-01  5.38126072e-01 
 1.07500000e-08  1.35000000e+00  2.82458089e-03 
 1.10000000e-08  1.80000000e+00  3.37246089e-04 
 1.10500000e-08  1.80000000e+00  8.40258953e-06 
 1.11500000e-08  1.80000000e+00 -7.57121700e-06 
 1.13500000e-08  1.80000000e+00  7.85260490e-06 
 1.17500000e-08  1.80000000e+00 -7.35690482e-06 
 1.22500000e-08  1.80000000e+00  7.70288846e-06 
 1.27500000e-08  1.80000000e+00 -7.21884967e-06 
